distance,velocity
33222.59136212629,-19.80198019801992
36544.85049833881,34.65346534653463
205980.06644518278,42.9042904290427
257475.0830564784,9.900990099009732
270764.11960132886,-31.35313531353154
270764.11960132886,-75.9075907590759
445182.7242524917,404.2904290429042
500000,447.1947194719471
500000,415.8415841584158
632890.3654485049,323.4323432343233
799003.3222591362,381.18811881188117
898671.096345515,216.17161716171609
898671.096345515,435.6435643564356
898671.096345515,602.3102310231022
900332.225913621,100.66006600660057
1001661.1295681065,838.2838283828382
1099667.7740863787,732.6732673267327
1102990.0332225915,572.6072607260726
1400332.2259136213,617.1617161716172
1700996.6777408642,1052.805280528053
2000000.0000000002,529.7029702970297
2001661.1295681063,813.5313531353136
2003322.2591362128,851.4851485148515
2003322.2591362128,1118.8118811881188
